Wall time,Step,Value
1747662496.7491038,1,6.555129051208496
1747662501.6044512,2,5.750555038452148
1747662506.5026107,3,5.490572452545166
1747662511.2193499,4,5.3262481689453125
1747662515.9682631,5,5.203116416931152
1747662520.7697635,6,5.09982442855835
1747662525.5667138,7,5.009256362915039
1747662530.3198009,8,4.931138515472412
1747662535.1742182,9,4.860923767089844
1747662540.0906017,10,4.802868843078613
1747662544.8875968,11,4.747629642486572
1747662549.803108,12,4.699850082397461
1747662554.9038763,13,4.650547027587891
1747662559.831665,14,4.60910177230835
1747662564.6789207,15,4.569967746734619
1747662569.6306303,16,4.535454273223877
1747662574.5694776,17,4.502710819244385
1747662579.4553702,18,4.469963550567627
1747662584.276556,19,4.442244529724121
1747662589.2553937,20,4.412463665008545
1747662594.2588296,21,4.388372898101807
1747662598.980166,22,4.36541223526001
1747662603.8872151,23,4.34352970123291
1747662608.8084147,24,4.318995475769043
1747662613.682932,25,4.298718452453613
1747662618.4480317,26,4.27600622177124
1747662623.2792943,27,4.2576727867126465
1747662628.222429,28,4.240564346313477
1747662633.1284034,29,4.222092151641846
1747662636.9064512,30,4.204482078552246
1747662641.7631361,31,4.189024925231934
1747662646.7230146,32,4.1736249923706055
1747662650.5155935,33,4.159943103790283
1747662654.2921116,34,4.145893573760986
1747662658.0846868,35,4.083072185516357
1747662663.1145794,36,4.050849914550781
1747662666.8833268,37,4.035098075866699
1747662670.6608036,38,4.0165019035339355
1747662675.4843976,39,4.003467082977295
1747662680.36732,40,3.993164300918579
