Wall time,Step,Value
1747665715.2126129,1,6.6259331703186035
1747665762.610521,2,5.8819756507873535
1747665810.766505,3,5.614866256713867
1747665858.0492685,4,5.460036754608154
1747665905.2262137,5,5.343759536743164
1747665952.6614666,6,5.254087448120117
1747666000.0080254,7,5.182821273803711
1747666047.3712835,8,5.125192642211914
1747666094.690769,9,5.070651531219482
1747666141.9493945,10,5.027490615844727
1747666189.6146493,11,4.9892659187316895
1747666236.999574,12,4.9520344734191895
1747666284.3330967,13,4.920838832855225
1747666331.8082545,14,4.888833522796631
1747666379.031418,15,4.865396022796631
1747666426.2327769,16,4.843931198120117
1747666473.570225,17,4.8198466300964355
1747666520.8686898,18,4.801131725311279
1747666568.275039,19,4.7802348136901855
1747666615.841855,20,4.7599711418151855
1747666663.25022,21,4.745608329772949
1747666711.1423619,22,4.731631755828857
1747666758.4151232,23,4.71219539642334
1747666806.231878,24,4.694921016693115
1747666853.9262888,25,4.682220935821533
1747666901.5903742,26,4.671200752258301
1747666949.274638,27,4.652511119842529
1747666997.2245452,28,4.642513751983643
1747667045.4664917,29,4.636357307434082
1747667092.4254985,30,4.628879070281982
1747667140.3469112,31,4.61435079574585
1747667188.0874486,32,4.6071577072143555
1747667234.9243002,33,4.593714714050293
1747667281.9605079,34,4.58668327331543
1747667329.6937304,35,4.578737735748291
1747667377.6140797,36,4.5688252449035645
1747667424.8496034,37,4.559482574462891
1747667472.5814872,38,4.548807621002197
1747667519.469551,39,4.529741287231445
1747667567.0103207,40,4.507851600646973
