Wall time,Step,Value
1747663127.6293817,1,6.821702480316162
1747663133.1833894,2,6.5965447425842285
1747663138.6091878,3,6.580151081085205
1747663143.2726607,4,6.571486473083496
1747663147.9434109,5,6.563762664794922
1747663152.6189904,6,6.456287860870361
1747663158.0981066,7,6.230336666107178
1747663163.728539,8,6.103092193603516
1747663169.5356638,9,6.009737491607666
1747663175.0651288,10,5.916683197021484
1747663180.6976771,11,5.836795806884766
1747663186.3994837,12,5.765853404998779
1747663192.070745,13,5.705859184265137
1747663197.6744678,14,5.653733730316162
1747663203.255199,15,5.6064629554748535
1747663208.89661,16,5.56197452545166
1747663214.464469,17,5.520265579223633
1747663220.1209154,18,5.483215808868408
1747663225.5164464,19,5.4473652839660645
1747663231.0939205,20,5.4151225090026855
1747663236.6800458,21,5.384418487548828
1747663242.255015,22,5.355906009674072
1747663247.7810903,23,5.330916881561279
1747663253.3665402,24,5.303866863250732
1747663258.910472,25,5.280683517456055
1747663264.5381742,26,5.256171226501465
1747663270.1634967,27,5.233747482299805
1747663275.5082607,28,5.211367130279541
1747663281.1022835,29,5.1908087730407715
1747663286.7585034,30,5.172902584075928
1747663292.3739738,31,5.154659748077393
1747663297.8160203,32,5.138886451721191
1747663303.4333274,33,5.121535301208496
1747663309.1041646,34,5.106722354888916
1747663314.661994,35,5.089324951171875
1747663320.2421124,36,5.076661109924316
1747663325.7045462,37,5.061840534210205
1747663331.354599,38,5.048274517059326
1747663337.0404463,39,5.036249160766602
1747663342.6552992,40,5.0230488777160645
