Wall time,Step,Value
1747665715.212565,1,754.4080200195312
1747665762.6104848,2,358.5168151855469
1747665810.7664514,3,274.4767150878906
1747665858.0492313,4,235.1060791015625
1747665905.2261777,5,209.29808044433594
1747665952.6614304,6,191.34677124023438
1747666000.0079877,7,178.18479919433594
1747666047.3712468,8,168.20652770996094
1747666094.6907246,9,159.27810668945312
1747666141.9493582,10,152.54974365234375
1747666189.6146111,11,146.82859802246094
1747666236.999536,12,141.4624786376953
1747666284.3330612,13,137.11756896972656
1747666331.8082194,14,132.79859924316406
1747666379.0313823,15,129.7222900390625
1747666426.2327397,16,126.96753692626953
1747666473.5701897,17,123.94606018066406
1747666520.868653,18,121.64804077148438
1747666568.2750034,19,119.13233947753906
1747666615.8418205,20,116.7425765991211
1747666663.2501683,21,115.07781219482422
1747666711.1423273,22,113.4805908203125
1747666758.4150865,23,111.29625701904297
1747666806.2318394,24,109.39016723632812
1747666853.9262524,25,108.00968933105469
1747666901.5903401,26,106.82592010498047
1747666949.2746036,27,104.84796142578125
1747666997.224493,28,103.8049545288086
1747667045.4664533,29,103.1678466796875
1747667092.4254599,30,102.39920043945312
1747667140.3468752,31,100.92229461669922
1747667188.087413,32,100.19892883300781
1747667234.9242642,33,98.86100769042969
1747667281.9604723,34,98.16827392578125
1747667329.6936948,35,97.3913803100586
1747667377.6140425,36,96.43074035644531
1747667424.8495655,37,95.53404235839844
1747667472.5814505,38,94.5196304321289
1747667519.4695158,39,92.73456573486328
1747667567.010286,40,90.72669219970703
