Wall time,Step,Value
1747662496.7490547,1,702.8399658203125
1747662501.6044097,2,314.3651123046875
1747662506.5025716,3,242.39596557617188
1747662511.219309,4,205.66488647460938
1747662515.9682238,5,181.83807373046875
1747662520.769724,6,163.99313354492188
1747662525.5666726,7,149.79331970214844
1747662530.3197606,8,138.5371551513672
1747662535.1741805,9,129.14344787597656
1747662540.09056,10,121.8595199584961
1747662544.887558,11,115.3106460571289
1747662549.8030684,12,109.93067932128906
1747662554.9038389,13,104.64221954345703
1747662559.831626,14,100.3939437866211
1747662564.6788826,15,96.54097747802734
1747662569.6305914,16,93.26587677001953
1747662574.5694385,17,90.26148223876953
1747662579.4553273,18,87.35354614257812
1747662584.2765155,19,84.96543884277344
1747662589.2553434,20,82.47238159179688
1747662594.2587895,21,80.50930786132812
1747662598.9801273,22,78.68181610107422
1747662603.8871777,23,76.9787826538086
1747662608.8083754,24,75.11312866210938
1747662613.682892,25,73.60540771484375
1747662618.447993,26,71.9524917602539
1747662623.2792552,27,70.64537048339844
1747662628.2223902,28,69.447021484375
1747662633.1283648,29,68.17596435546875
1747662636.9064138,30,66.98590850830078
1747662641.7630985,31,65.95844268798828
1747662646.7229726,32,64.95047760009766
1747662650.5155542,33,64.06787872314453
1747662654.2920718,34,63.174049377441406
1747662658.0846472,35,59.327457427978516
1747662663.1145399,36,57.446266174316406
1747662666.883287,37,56.548458099365234
1747662670.6607645,38,55.50660705566406
1747662675.4843583,39,54.78776168823242
1747662680.3672733,40,54.22621154785156
